year,block,flow_type,rubric,value_pct_gdp,source,chart
2045,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.372568,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2046,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.344073,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2047,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.311546,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2048,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.274346,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2049,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.233808,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2050,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.189049,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2051,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.141019,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2052,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.091289,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2053,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",1.040767,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2054,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.990016,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2055,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.938791,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2056,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.887456,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2057,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.837026,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2058,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.787889,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2059,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.740589,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2060,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.694486,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2061,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.64987,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2062,"Pensiones CPE","Gasto","Prestaciones en efectivo AC",0.606948,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
