"anio","ambito_geografico","sexo","grupo_edad","edad_inicio","edad_fin","categoria_sanitaria","estado_dato","fuente_gasto","fuente_supervivencia","metodologia","gasto_per_capita_euros_2022","anos_persona_esperados","gasto_vital_esperado_tramo_euros_2022","porcentaje_sobre_gasto_vital_esperado"
"2022","Espana","Hombres","35 a 39","35","39","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1330.81","4.92825","6558.56","4.1211"
"2022","Espana","Hombres","40 a 44","40","44","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1338.24","4.905708","6565.03","4.1252"
"2022","Espana","Hombres","45 a 49","45","49","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1588.35","4.871509","7737.64","4.862"
"2022","Espana","Hombres","50 a 54","50","54","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1670","4.812141","8036.3","5.0497"
"2022","Espana","Hombres","55 a 59","55","59","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2210.82","4.704536","10400.89","6.5355"
"2022","Espana","Hombres","60 a 64","60","64","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2361.18","4.528775","10693.23","6.7192"
"2022","Espana","Hombres","65 a 69","65","69","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2821.79","4.264586","12033.75","7.5615"
"2022","Espana","Hombres","70 a 74","70","74","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3046.92","3.890198","11853.11","7.448"
"2022","Espana","Hombres","75 a 79","75","79","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3522.8","3.367072","11861.51","7.4533"
"2022","Espana","Hombres","80 a 84","80","84","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","3822.53","2.644422","10108.38","6.3517"
