"anio","ambito_geografico","sexo","grupo_edad","edad_inicio","edad_fin","indicador","categoria_sanitaria","estado_dato","fuente","url","gasto_per_capita_euros_2022"
"2022","Espana","Hombres","25 a 29","25","29","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1181.97435516495"
"2022","Espana","Hombres","30 a 34","30","34","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1181.20423524079"
"2022","Espana","Hombres","35 a 39","35","39","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1330.81001124609"
"2022","Espana","Hombres","40 a 44","40","44","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1338.24274524515"
"2022","Espana","Hombres","45 a 49","45","49","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1588.34577682822"
"2022","Espana","Hombres","50 a 54","50","54","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1670.00449036888"
"2022","Espana","Hombres","55 a 59","55","59","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2210.82137805927"
"2022","Espana","Hombres","60 a 64","60","64","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2361.17584227095"
"2022","Espana","Hombres","65 a 69","65","69","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2821.78668284065"
"2022","Espana","Hombres","70 a 74","70","74","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3046.91600736601"
"2022","Espana","Hombres","75 a 79","75","79","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3522.79650035989"
"2022","Espana","Hombres","80 a 84","80","84","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3822.52691612867"
"2022","Espana","Hombres","85 a 89","85","89","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","4360.01864214068"
"2022","Espana","Hombres","90 a 94","90","94","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","4663.70907743319"
"2022","Espana","Hombres","95 y más","95",,"Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","4674.05819072644"
"2022","Espana","Mujeres","0 a 4","0","4","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2789.94671079138"
"2022","Espana","Mujeres","5 a 9","5","9","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1250.75666656599"
"2022","Espana","Mujeres","10 a 14","10","14","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1132.91445338239"
"2022","Espana","Mujeres","15 a 19","15","19","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1373.33464675382"
"2022","Espana","Mujeres","20 a 24","20","24","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1541.18231950383"
"2022","Espana","Mujeres","25 a 29","25","29","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2051.85546600478"
"2022","Espana","Mujeres","30 a 34","30","34","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2131.7229087139"
"2022","Espana","Mujeres","35 a 39","35","39","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2093.50947018223"
"2022","Espana","Mujeres","40 a 44","40","44","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1909.90537615544"
"2022","Espana","Mujeres","45 a 49","45","49","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2020.12251685297"
"2022","Espana","Mujeres","50 a 54","50","54","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2055.92107831818"
"2022","Espana","Mujeres","55 a 59","55","59","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2275.37903295656"
"2022","Espana","Mujeres","60 a 64","60","64","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2355.77352436683"
"2022","Espana","Mujeres","65 a 69","65","69","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2670.26314293118"
"2022","Espana","Mujeres","70 a 74","70","74","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2847.97115756955"
"2022","Espana","Mujeres","75 a 79","75","79","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3034.43419661006"
"2022","Espana","Mujeres","80 a 84","80","84","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3283.35451409029"
"2022","Espana","Mujeres","85 a 89","85","89","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3518.92552314807"
"2022","Espana","Mujeres","90 a 94","90","94","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3770.4433664942"
"2022","Espana","Mujeres","95 y más","95",,"Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","3652.23439750985"
