"ano","rubrica","rubrica_id","importe_miles_eur","importe_millones_eur","unidad_original","estado_dato","tipo_columna_fuente","tramo_fuente","fuente","url_fuente","notas"
"1996","Pasivos financieros","pasivos_financieros","2673693,02","2673,69302","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Tasas y otros ingresos","tasas_y_otros_ingresos","1704232,49","1704,23249","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","T O T A L E S","total_ingresos","70901212,08","70901,21208","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Transferencias corrientes","transferencias_corrientes","20755337,31","20755,33731","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1996","Transferencias de capital","transferencias_de_capital","215651,37","215,65137","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1996","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Activos financieros","activos_financieros","363377,53","363,37753","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Cotizaciones sociales","cotizaciones_sociales","48012059,59","48012,05959","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Enajenación de inversiones reales","enajenacion_inversiones_reales","15284,12","15,28412","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Ingresos patrimoniales","ingresos_patrimoniales","110908,56","110,90856","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Operaciones corrientes","operaciones_corrientes","72094249,28","72094,24928","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Operaciones de capital","operaciones_de_capital","210167,96","210,16796","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Operaciones financieras","operaciones_financieras","3402168,05","3402,16805","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Operaciones no financieras","operaciones_no_financieras","72304417,24","72304,41724","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
"1997","Pasivos financieros","pasivos_financieros","3038790,52","3038,79052","miles de euros","observado","LIQUIDACIÓN CONSOLIDADA 1997","1995-2002","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST66/EST67?changeLanguage=es","Serie historica homologada a la estructura presupuestaria de 2023. 2025P es presupuesto prorrogado/prevision, no liquidacion observada."
