"ano","variable_id","variable","importe_millones_eur","porcentaje_sobre_total_publicado","total_recursos_millones_eur","suma_componentes_millones_eur","diferencia_suma_menos_total_millones_eur","estado_dato","fuente","notas"
"2004","total_recursos","Total recursos","88666,64","100","88666,64","88666,64","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2005","cotizaciones_sociales","Cotizaciones sociales","88235,73","92,19","95713,59","95713,59","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2005","transferencias_corrientes","Transferencias corrientes","4895,71","5,11","95713,59","95713,59","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2005","otros_ingresos","Otros ingresos","2582,15","2,7","95713,59","95713,59","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2005","total_recursos","Total recursos","95713,59","100","95713,59","95713,59","0","observado_tabla_secundaria_ruptura","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2006","cotizaciones_sociales","Cotizaciones sociales","90169,4","92,14","97861,05","97861,05","0","presupuesto_inicial_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2006","transferencias_corrientes","Transferencias corrientes","5294,91","5,41","97861,05","97861,05","0","presupuesto_inicial_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2006","otros_ingresos","Otros ingresos","2396,74","2,45","97861,05","97861,05","0","presupuesto_inicial_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2006","total_recursos","Total recursos","97861,05","100","97861,05","97861,05","0","presupuesto_inicial_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2007","cotizaciones_sociales","Cotizaciones sociales","97357,54","91,18","106774,57","106774,57","0","presupuesto_inicial_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2007","transferencias_corrientes","Transferencias corrientes","5962,72","5,58","106774,57","106774,57","0","presupuesto_inicial_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2007","otros_ingresos","Otros ingresos","3454,31","3,24","106774,57","106774,57","0","presupuesto_inicial_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
"2007","total_recursos","Total recursos","106774,57","100","106774,57","106774,57","0","presupuesto_inicial_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","La fuente indica ruptura desde 2002: el presupuesto no contiene asistencia sanitaria ni servicios sociales transferidos a las CCAA."
