"periodo","ano","trimestre","tasa_paro_pct","estado_dato","fuente_segmento","fuente","institucion","url_fuente","notas"
"1985T3","1985","3","21.30","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1985T4","1985","4","21.48","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1986T1","1986","1","21.65","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1986T2","1986","2","21.02","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1986T3","1986","3","20.59","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1986T4","1986","4","20.64","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1987T1","1987","1","21.01","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1987T2","1987","2","20.20","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1987T3","1987","3","19.93","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1987T4","1987","4","19.75","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
