"anio","ambito_geografico","sexo","esperanza_vida_nacimiento_anios","tipo_dato","fuente"
"2001","Total Nacional","Mujeres","83,05","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2002","Total Nacional","Ambos sexos","79,76","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2002","Total Nacional","Hombres","76,38","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2002","Total Nacional","Mujeres","83,14","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2003","Total Nacional","Ambos sexos","79,7","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2003","Total Nacional","Hombres","76,41","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2003","Total Nacional","Mujeres","82,99","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2004","Total Nacional","Ambos sexos","80,29","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2004","Total Nacional","Hombres","76,98","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2004","Total Nacional","Mujeres","83,57","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2005","Total Nacional","Ambos sexos","80,28","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2005","Total Nacional","Hombres","77,02","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2005","Total Nacional","Mujeres","83,54","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2006","Total Nacional","Ambos sexos","80,94","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2006","Total Nacional","Hombres","77,71","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2006","Total Nacional","Mujeres","84,15","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2007","Total Nacional","Ambos sexos","80,97","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2007","Total Nacional","Hombres","77,78","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2007","Total Nacional","Mujeres","84,14","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
