"ano","ambito","territorio","sexo","nacionalidad","salario_medio_bruto_eur_anuales","valor_original_ine","unidad","estado_dato","tipo_dato_ine","nota_muestral","fuente","url"
"2023","ccaa_nacionalidad","Balears, Illes","Ambos sexos","Extranjera","24068.32","24068.32","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Hombres","Extranjera","24788.28","24788.28","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Mujeres","Extranjera","23321.44","23321.44","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Ambos sexos","Total","27537.0","27537.0","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Hombres","Total","28754.2","28754.2","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Mujeres","Total","26260.9","26260.9","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Ambos sexos","Española","24607.15","24607.15","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Hombres","Española","25250.44","25250.44","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Mujeres","Española","23946.57","23946.57","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Ambos sexos","Extranjera","18366.72","18366.72","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Hombres","Extranjera","18669.49","-18669.49","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Mujeres","Extranjera","18004.34","-18004.34","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Ambos sexos","Total","24033.57","24033.57","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Hombres","Total","24604.44","24604.44","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Canarias","Mujeres","Total","23439.06","23439.06","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Ambos sexos","Española","26795.85","26795.85","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Hombres","Española","29414.31","29414.31","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Mujeres","Española","23984.47","23984.47","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Ambos sexos","Extranjera","22247.86","-22247.86","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Hombres","Extranjera","25082.27","-25082.27","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Mujeres","Extranjera","","","euros anuales por trabajador","observado","Definitivo","no_disponible_observaciones_menores_100","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Ambos sexos","Total","26568.7","26568.7","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Hombres","Total","29145.64","29145.64","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cantabria","Mujeres","Total","23727.01","23727.01","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Ambos sexos","Española","25386.84","25386.84","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Hombres","Española","27310.52","27310.52","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Mujeres","Española","23068.44","23068.44","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Ambos sexos","Extranjera","18249.54","18249.54","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Hombres","Extranjera","19777.22","-19777.22","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Mujeres","Extranjera","16277.33","-16277.33","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Ambos sexos","Total","24885.63","24885.63","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Hombres","Total","26766.25","26766.25","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla - La Mancha","Mujeres","Total","22608.19","22608.19","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Ambos sexos","Española","25667.06","25667.06","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Hombres","Española","27921.54","27921.54","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Mujeres","Española","23482.36","23482.36","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Ambos sexos","Extranjera","18032.57","18032.57","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Hombres","Extranjera","19918.4","-19918.4","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Mujeres","Extranjera","15124.67","-15124.67","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Ambos sexos","Total","25227.03","25227.03","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Hombres","Total","27360.49","27360.49","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Castilla y León","Mujeres","Total","23104.3","23104.3","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Ambos sexos","Española","30928.88","30928.88","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Hombres","Española","34113.65","34113.65","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Mujeres","Española","27885.15","27885.15","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Ambos sexos","Extranjera","24037.24","24037.24","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Hombres","Extranjera","25224.75","25224.75","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Mujeres","Extranjera","22479.74","22479.74","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Ambos sexos","Total","29978.69","29978.69","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Hombres","Total","32721.58","32721.58","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Cataluña","Mujeres","Total","27240.93","27240.93","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Ambos sexos","Española","26228.74","26228.74","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Hombres","Española","28648.1","28648.1","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Mujeres","Española","23729.07","23729.07","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Ambos sexos","Extranjera","19668.82","19668.82","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Hombres","Extranjera","21500.69","21500.69","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Mujeres","Extranjera","17293.16","17293.16","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Ambos sexos","Total","25632.37","25632.37","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Hombres","Total","27933.36","27933.36","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Comunitat Valenciana","Mujeres","Total","23205.68","23205.68","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Ambos sexos","Española","23811.36","23811.36","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Hombres","Española","25302.97","25302.97","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Mujeres","Española","22320.3","22320.3","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Ambos sexos","Extranjera","18745.7","-18745.7","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Hombres","Extranjera","20819.99","-20819.99","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Mujeres","Extranjera","","","euros anuales por trabajador","observado","Definitivo","no_disponible_observaciones_menores_100","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Ambos sexos","Total","23684.22","23684.22","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Hombres","Total","25179.79","25179.79","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Extremadura","Mujeres","Total","22181.88","22181.88","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
