"anio","ambito_geografico","indicador","tasa_bruta_natalidad_nacidos_por_mil_habitantes","estado_dato","tipo_dato_ine","fuente","url_api"
"2009","Total Nacional","Tasa Bruta de Natalidad","10.65","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2010","Total Nacional","Tasa Bruta de Natalidad","10.42","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2011","Total Nacional","Tasa Bruta de Natalidad","10.07","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2012","Total Nacional","Tasa Bruta de Natalidad","9.7","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2013","Total Nacional","Tasa Bruta de Natalidad","9.11","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2014","Total Nacional","Tasa Bruta de Natalidad","9.18","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2015","Total Nacional","Tasa Bruta de Natalidad","9.02","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2016","Total Nacional","Tasa Bruta de Natalidad","8.8","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2017","Total Nacional","Tasa Bruta de Natalidad","8.41","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2018","Total Nacional","Tasa Bruta de Natalidad","7.94","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2019","Total Nacional","Tasa Bruta de Natalidad","7.62","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2020","Total Nacional","Tasa Bruta de Natalidad","7.19","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2021","Total Nacional","Tasa Bruta de Natalidad","7.1","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2022","Total Nacional","Tasa Bruta de Natalidad","6.88","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2023","Total Nacional","Tasa Bruta de Natalidad","6.61","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2024","Total Nacional","Tasa Bruta de Natalidad","6.49","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
