"anio","ambito_geografico","sexo","edad_referencia","indicador","estado_dato","tipo_dato_ine","fuente","url_api","esperanza_vida_restante_anios"
"2038","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.695709"
"2038","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.492207"
"2038","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.875562"
"2038","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.587851"
"2038","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.062361"
"2038","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.689453"
"2039","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.781241"
"2039","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.568824"
"2039","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.958177"
"2039","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.663033"
"2039","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.142146"
"2039","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.763273"
"2040","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.865222"
"2040","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.644741"
"2040","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.039299"
"2040","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.737541"
"2040","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.220497"
"2040","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.836445"
"2041","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.947648"
"2041","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.719946"
"2041","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.118926"
"2041","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.811362"
"2041","Total Nacional","Hombres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","19.297409"
"2041","Total Nacional","Mujeres","67 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","22.908955"
"2042","Total Nacional","Hombres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","21.028518"
"2042","Total Nacional","Mujeres","65 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","24.79443"
"2042","Total Nacional","Hombres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","20.197056"
"2042","Total Nacional","Mujeres","66 años","Esperanza de vida restante a edad de referencia","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","23.884488"
