"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacionalidad","orden_nacimiento","indicador_coyuntural_fecundidad_hijos_por_mujer"
"2014","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.32"
"2015","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.33"
"2016","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.33"
"2017","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.31"
"2018","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.26"
"2019","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.23"
"2020","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.18"
"2021","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.18"
"2022","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.16"
"2023","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.12"
"2024","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.1"
