"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","tasa_bruta_mortalidad_defunciones_por_mil_habitantes"
"2014","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.48"
"2015","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","9.06"
"2016","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.79"
"2017","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","9.07"
"2018","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","9.1"
"2019","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.84"
"2020","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","10.4"
"2021","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","9.47"
"2022","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","9.67"
"2023","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.96"
"2024","Total Nacional","Tasa Bruta de Mortalidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1411","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1411?tip=AM","8.87"
