"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacionalidad","orden_nacimiento","edad_media_maternidad_anios"
"2002","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.8"
"2002","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.18"
"2003","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.85"
"2003","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.25"
"2004","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.87"
"2004","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.29"
"2005","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.92"
"2005","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.34"
"2006","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.9"
"2006","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.32"
"2007","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.85"
"2007","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.45"
"2008","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","30.83"
"2008","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.3"
"2009","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","31.04"
"2009","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.6"
"2010","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","31.2"
"2010","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","29.82"
"2011","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","31.44"
"2011","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","30.11"
"2012","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","31.56"
"2012","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","30.25"
"2013","Total Nacional","Edad media a la maternidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Todos","31.67"
"2013","Total Nacional","Edad media a la maternidad al primer hijo","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 48879","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/48879?tip=AM","Ambas nacionalidades","Primero","30.42"
