"ano","variable","escenario","valor_pct_pib","unidad","estado_dato","fuente","detalle_fuente"
"2023","gasto_pensiones_publicas_bruto","baseline","13.5672","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2024","gasto_pensiones_publicas_bruto","baseline","13.655","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2025","gasto_pensiones_publicas_bruto","baseline","13.7153","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2026","gasto_pensiones_publicas_bruto","baseline","13.8096","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2027","gasto_pensiones_publicas_bruto","baseline","13.9211","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2028","gasto_pensiones_publicas_bruto","baseline","14.0182","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2029","gasto_pensiones_publicas_bruto","baseline","14.1529","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2030","gasto_pensiones_publicas_bruto","baseline","14.3281","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2031","gasto_pensiones_publicas_bruto","baseline","14.5384","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2032","gasto_pensiones_publicas_bruto","baseline","14.7779","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2033","gasto_pensiones_publicas_bruto","baseline","15.0145","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2034","gasto_pensiones_publicas_bruto","baseline","15.2403","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2035","gasto_pensiones_publicas_bruto","baseline","15.4481","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2036","gasto_pensiones_publicas_bruto","baseline","15.6354","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2037","gasto_pensiones_publicas_bruto","baseline","15.8007","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2038","gasto_pensiones_publicas_bruto","baseline","15.9546","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2039","gasto_pensiones_publicas_bruto","baseline","16.0923","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2040","gasto_pensiones_publicas_bruto","baseline","16.2047","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2041","gasto_pensiones_publicas_bruto","baseline","16.3406","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2042","gasto_pensiones_publicas_bruto","baseline","16.4857","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2043","gasto_pensiones_publicas_bruto","baseline","16.6359","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2044","gasto_pensiones_publicas_bruto","baseline","16.7839","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2045","gasto_pensiones_publicas_bruto","baseline","16.9208","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2046","gasto_pensiones_publicas_bruto","baseline","17.0425","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2047","gasto_pensiones_publicas_bruto","baseline","17.1376","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2048","gasto_pensiones_publicas_bruto","baseline","17.2028","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2049","gasto_pensiones_publicas_bruto","baseline","17.2509","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2050","gasto_pensiones_publicas_bruto","baseline","17.2792","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2051","gasto_pensiones_publicas_bruto","baseline","17.2904","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2052","gasto_pensiones_publicas_bruto","baseline","17.287","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2053","gasto_pensiones_publicas_bruto","baseline","17.2733","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2054","gasto_pensiones_publicas_bruto","baseline","17.2412","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2055","gasto_pensiones_publicas_bruto","baseline","17.1939","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2056","gasto_pensiones_publicas_bruto","baseline","17.1361","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
