Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
ambos sexos;menores de 25 años;tasas de actividad;1987TII;53,08
ambos sexos;menores de 25 años;tasas de actividad;1987TI;51,58
ambos sexos;menores de 25 años;tasas de actividad;1986TIV;50,91
ambos sexos;menores de 25 años;tasas de actividad;1986TIII;50,59
ambos sexos;menores de 25 años;tasas de actividad;1986TII;49,84
ambos sexos;menores de 25 años;tasas de actividad;1986TI;50,22
ambos sexos;menores de 25 años;tasas de actividad;1985TIV;50,30
ambos sexos;menores de 25 años;tasas de actividad;1985TIII;50,28
ambos sexos;menores de 25 años;tasas de actividad;1985TII;49,59
ambos sexos;menores de 25 años;tasas de actividad;1985TI;50,99
ambos sexos;menores de 25 años;tasas de actividad;1984TIV;51,76
ambos sexos;menores de 25 años;tasas de actividad;1984TIII;51,50
ambos sexos;menores de 25 años;tasas de actividad;1984TII;50,72
ambos sexos;menores de 25 años;tasas de actividad;1984TI;51,51
ambos sexos;menores de 25 años;tasas de actividad;1983TIV;51,68
ambos sexos;menores de 25 años;tasas de actividad;1983TIII;52,10
ambos sexos;menores de 25 años;tasas de actividad;1983TII;50,92
ambos sexos;menores de 25 años;tasas de actividad;1983TI;51,80
ambos sexos;menores de 25 años;tasas de actividad;1982TIV;52,74
ambos sexos;menores de 25 años;tasas de actividad;1982TIII;52,35
ambos sexos;menores de 25 años;tasas de actividad;1982TII;51,46
ambos sexos;menores de 25 años;tasas de actividad;1982TI;52,34
ambos sexos;menores de 25 años;tasas de actividad;1981TIV;52,86
ambos sexos;menores de 25 años;tasas de actividad;1981TIII;52,75
ambos sexos;menores de 25 años;tasas de actividad;1981TII;51,87
ambos sexos;menores de 25 años;tasas de actividad;1981TI;52,77
ambos sexos;menores de 25 años;tasas de actividad;1980TIV;53,14
ambos sexos;menores de 25 años;tasas de actividad;1980TIII;53,23
ambos sexos;menores de 25 años;tasas de actividad;1980TII;52,95
ambos sexos;menores de 25 años;tasas de actividad;1980TI;54,13
ambos sexos;menores de 25 años;tasas de actividad;1979TIV;54,60
ambos sexos;menores de 25 años;tasas de actividad;1979TIII;54,80
ambos sexos;menores de 25 años;tasas de actividad;1979TII;53,54
ambos sexos;menores de 25 años;tasas de actividad;1979TI;54,74
ambos sexos;menores de 25 años;tasas de actividad;1978TIV;55,13
ambos sexos;menores de 25 años;tasas de actividad;1978TIII;55,73
ambos sexos;menores de 25 años;tasas de actividad;1978TII;54,75
ambos sexos;menores de 25 años;tasas de actividad;1978TI;55,89
ambos sexos;menores de 25 años;tasas de actividad;1977TIV;56,39
ambos sexos;menores de 25 años;tasas de actividad;1977TIII;56,45
ambos sexos;menores de 25 años;tasas de actividad;1977TII;55,34
ambos sexos;menores de 25 años;tasas de actividad;1977TI;56,56
ambos sexos;menores de 25 años;tasas de actividad;1976TIV;57,09
ambos sexos;menores de 25 años;tasas de actividad;1976TIII;57,41
ambos sexos;menores de 25 años;tasas de paro;1995TIV;42,45
ambos sexos;menores de 25 años;tasas de paro;1995TIII;42,37
ambos sexos;menores de 25 años;tasas de paro;1995TII;41,90
ambos sexos;menores de 25 años;tasas de paro;1995TI;43,69
ambos sexos;menores de 25 años;tasas de paro;1994TIV;44,57
ambos sexos;menores de 25 años;tasas de paro;1994TIII;44,55
ambos sexos;menores de 25 años;tasas de paro;1994TII;44,98
ambos sexos;menores de 25 años;tasas de paro;1994TI;46,27
ambos sexos;menores de 25 años;tasas de paro;1993TIV;44,72
ambos sexos;menores de 25 años;tasas de paro;1993TIII;44,23
ambos sexos;menores de 25 años;tasas de paro;1993TII;42,26
ambos sexos;menores de 25 años;tasas de paro;1993TI;41,19
ambos sexos;menores de 25 años;tasas de paro;1992TIV;37,95
ambos sexos;menores de 25 años;tasas de paro;1992TIII;34,23
ambos sexos;menores de 25 años;tasas de paro;1992TII;33,08
ambos sexos;menores de 25 años;tasas de paro;1992TI;32,19
ambos sexos;menores de 25 años;tasas de paro;1991TIV;31,79
ambos sexos;menores de 25 años;tasas de paro;1991TIII;30,75
ambos sexos;menores de 25 años;tasas de paro;1991TII;30,50
ambos sexos;menores de 25 años;tasas de paro;1991TI;31,25
ambos sexos;menores de 25 años;tasas de paro;1990TIV;31,78
ambos sexos;menores de 25 años;tasas de paro;1990TIII;32,12
ambos sexos;menores de 25 años;tasas de paro;1990TII;31,85
ambos sexos;menores de 25 años;tasas de paro;1990TI;33,68
ambos sexos;menores de 25 años;tasas de paro;1989TIV;33,66
ambos sexos;menores de 25 años;tasas de paro;1989TIII;32,99
ambos sexos;menores de 25 años;tasas de paro;1989TII;34,41
ambos sexos;menores de 25 años;tasas de paro;1989TI;37,21
ambos sexos;menores de 25 años;tasas de paro;1988TIV;37,90
ambos sexos;menores de 25 años;tasas de paro;1988TIII;38,99
ambos sexos;menores de 25 años;tasas de paro;1988TII;41,19
ambos sexos;menores de 25 años;tasas de paro;1988TI;42,17
ambos sexos;menores de 25 años;tasas de paro;1987TIV;41,92
ambos sexos;menores de 25 años;tasas de paro;1987TIII;41,99
ambos sexos;menores de 25 años;tasas de paro;1987TII;43,28
ambos sexos;menores de 25 años;tasas de paro;1987TI;45,63
ambos sexos;menores de 25 años;tasas de paro;1986TIV;45,88
ambos sexos;menores de 25 años;tasas de paro;1986TIII;45,03
ambos sexos;menores de 25 años;tasas de paro;1986TII;46,28
ambos sexos;menores de 25 años;tasas de paro;1986TI;47,60
ambos sexos;menores de 25 años;tasas de paro;1985TIV;47,96
ambos sexos;menores de 25 años;tasas de paro;1985TIII;47,37
ambos sexos;menores de 25 años;tasas de paro;1985TII;47,56
ambos sexos;menores de 25 años;tasas de paro;1985TI;48,28
ambos sexos;menores de 25 años;tasas de paro;1984TIV;47,83
ambos sexos;menores de 25 años;tasas de paro;1984TIII;45,94
ambos sexos;menores de 25 años;tasas de paro;1984TII;45,44
ambos sexos;menores de 25 años;tasas de paro;1984TI;45,47
ambos sexos;menores de 25 años;tasas de paro;1983TIV;42,64
ambos sexos;menores de 25 años;tasas de paro;1983TIII;41,73
ambos sexos;menores de 25 años;tasas de paro;1983TII;40,87
ambos sexos;menores de 25 años;tasas de paro;1983TI;41,66
ambos sexos;menores de 25 años;tasas de paro;1982TIV;40,24
ambos sexos;menores de 25 años;tasas de paro;1982TIII;38,87
ambos sexos;menores de 25 años;tasas de paro;1982TII;37,45
ambos sexos;menores de 25 años;tasas de paro;1982TI;37,06
ambos sexos;menores de 25 años;tasas de paro;1981TIV;36,46
ambos sexos;menores de 25 años;tasas de paro;1981TIII;34,82
ambos sexos;menores de 25 años;tasas de paro;1981TII;32,94
ambos sexos;menores de 25 años;tasas de paro;1981TI;32,73
ambos sexos;menores de 25 años;tasas de paro;1980TIV;31,16
ambos sexos;menores de 25 años;tasas de paro;1980TIII;28,79
ambos sexos;menores de 25 años;tasas de paro;1980TII;27,13
ambos sexos;menores de 25 años;tasas de paro;1980TI;25,28
ambos sexos;menores de 25 años;tasas de paro;1979TIV;23,16
ambos sexos;menores de 25 años;tasas de paro;1979TIII;21,85
ambos sexos;menores de 25 años;tasas de paro;1979TII;20,15
ambos sexos;menores de 25 años;tasas de paro;1979TI;20,00
ambos sexos;menores de 25 años;tasas de paro;1978TIV;19,32
ambos sexos;menores de 25 años;tasas de paro;1978TIII;18,04
ambos sexos;menores de 25 años;tasas de paro;1978TII;16,08
ambos sexos;menores de 25 años;tasas de paro;1978TI;15,79
ambos sexos;menores de 25 años;tasas de paro;1977TIV;13,84
ambos sexos;menores de 25 años;tasas de paro;1977TIII;13,21
ambos sexos;menores de 25 años;tasas de paro;1977TII;11,11
ambos sexos;menores de 25 años;tasas de paro;1977TI;11,14
ambos sexos;menores de 25 años;tasas de paro;1976TIV;10,73
ambos sexos;menores de 25 años;tasas de paro;1976TIII;9,87
ambos sexos;menores de 25 años;tasas de empleo;1995TIV;25,86
ambos sexos;menores de 25 años;tasas de empleo;1995TIII;26,65
ambos sexos;menores de 25 años;tasas de empleo;1995TII;26,21
ambos sexos;menores de 25 años;tasas de empleo;1995TI;25,86
ambos sexos;menores de 25 años;tasas de empleo;1994TIV;25,67
ambos sexos;menores de 25 años;tasas de empleo;1994TIII;26,25
ambos sexos;menores de 25 años;tasas de empleo;1994TII;25,82
ambos sexos;menores de 25 años;tasas de empleo;1994TI;25,44
ambos sexos;menores de 25 años;tasas de empleo;1993TIV;26,39
ambos sexos;menores de 25 años;tasas de empleo;1993TIII;26,90
ambos sexos;menores de 25 años;tasas de empleo;1993TII;27,08
ambos sexos;menores de 25 años;tasas de empleo;1993TI;27,76
ambos sexos;menores de 25 años;tasas de empleo;1992TIV;29,87
ambos sexos;menores de 25 años;tasas de empleo;1992TIII;32,09
ambos sexos;menores de 25 años;tasas de empleo;1992TII;32,34
ambos sexos;menores de 25 años;tasas de empleo;1992TI;33,02
ambos sexos;menores de 25 años;tasas de empleo;1991TIV;33,63
ambos sexos;menores de 25 años;tasas de empleo;1991TIII;34,90
ambos sexos;menores de 25 años;tasas de empleo;1991TII;34,20
ambos sexos;menores de 25 años;tasas de empleo;1991TI;34,27
ambos sexos;menores de 25 años;tasas de empleo;1990TIV;34,83
ambos sexos;menores de 25 años;tasas de empleo;1990TIII;35,12
ambos sexos;menores de 25 años;tasas de empleo;1990TII;34,84
ambos sexos;menores de 25 años;tasas de empleo;1990TI;34,03
ambos sexos;menores de 25 años;tasas de empleo;1989TIV;34,29
ambos sexos;menores de 25 años;tasas de empleo;1989TIII;35,17
ambos sexos;menores de 25 años;tasas de empleo;1989TII;33,76
ambos sexos;menores de 25 años;tasas de empleo;1989TI;33,12
ambos sexos;menores de 25 años;tasas de empleo;1988TIV;33,17
ambos sexos;menores de 25 años;tasas de empleo;1988TIII;33,63
ambos sexos;menores de 25 años;tasas de empleo;1988TII;31,46
ambos sexos;menores de 25 años;tasas de empleo;1988TI;31,03
ambos sexos;menores de 25 años;tasas de empleo;1987TIV;31,44
ambos sexos;menores de 25 años;tasas de empleo;1987TIII;31,50
ambos sexos;menores de 25 años;tasas de empleo;1987TII;30,11
ambos sexos;menores de 25 años;tasas de empleo;1987TI;28,04
ambos sexos;menores de 25 años;tasas de empleo;1986TIV;27,55
ambos sexos;menores de 25 años;tasas de empleo;1986TIII;27,81
ambos sexos;menores de 25 años;tasas de empleo;1986TII;26,77
ambos sexos;menores de 25 años;tasas de empleo;1986TI;26,32
ambos sexos;menores de 25 años;tasas de empleo;1985TIV;26,18
ambos sexos;menores de 25 años;tasas de empleo;1985TIII;26,46
ambos sexos;menores de 25 años;tasas de empleo;1985TII;26,00
ambos sexos;menores de 25 años;tasas de empleo;1985TI;26,37
ambos sexos;menores de 25 años;tasas de empleo;1984TIV;27,01
ambos sexos;menores de 25 años;tasas de empleo;1984TIII;27,84
ambos sexos;menores de 25 años;tasas de empleo;1984TII;27,67
ambos sexos;menores de 25 años;tasas de empleo;1984TI;28,09
ambos sexos;menores de 25 años;tasas de empleo;1983TIV;29,65
ambos sexos;menores de 25 años;tasas de empleo;1983TIII;30,36
ambos sexos;menores de 25 años;tasas de empleo;1983TII;30,11
ambos sexos;menores de 25 años;tasas de empleo;1983TI;30,22
ambos sexos;menores de 25 años;tasas de empleo;1982TIV;31,52
ambos sexos;menores de 25 años;tasas de empleo;1982TIII;32,00
ambos sexos;menores de 25 años;tasas de empleo;1982TII;32,19
ambos sexos;menores de 25 años;tasas de empleo;1982TI;32,95
ambos sexos;menores de 25 años;tasas de empleo;1981TIV;33,58
ambos sexos;menores de 25 años;tasas de empleo;1981TIII;34,38
ambos sexos;menores de 25 años;tasas de empleo;1981TII;34,78
ambos sexos;menores de 25 años;tasas de empleo;1981TI;35,50
ambos sexos;menores de 25 años;tasas de empleo;1980TIV;36,59
ambos sexos;menores de 25 años;tasas de empleo;1980TIII;37,91
ambos sexos;menores de 25 años;tasas de empleo;1980TII;38,59
ambos sexos;menores de 25 años;tasas de empleo;1980TI;40,45
ambos sexos;menores de 25 años;tasas de empleo;1979TIV;41,96
ambos sexos;menores de 25 años;tasas de empleo;1979TIII;42,83
ambos sexos;menores de 25 años;tasas de empleo;1979TII;42,75
ambos sexos;menores de 25 años;tasas de empleo;1979TI;43,80
ambos sexos;menores de 25 años;tasas de empleo;1978TIV;44,48
ambos sexos;menores de 25 años;tasas de empleo;1978TIII;45,68
ambos sexos;menores de 25 años;tasas de empleo;1978TII;45,95
ambos sexos;menores de 25 años;tasas de empleo;1978TI;47,07
ambos sexos;menores de 25 años;tasas de empleo;1977TIV;48,59
ambos sexos;menores de 25 años;tasas de empleo;1977TIII;48,99
ambos sexos;menores de 25 años;tasas de empleo;1977TII;49,19
ambos sexos;menores de 25 años;tasas de empleo;1977TI;50,26
ambos sexos;menores de 25 años;tasas de empleo;1976TIV;50,97
ambos sexos;menores de 25 años;tasas de empleo;1976TIII;51,74
ambos sexos;de 25 y más años;tasas de actividad;1995TIV;52,37
ambos sexos;de 25 y más años;tasas de actividad;1995TIII;52,20
ambos sexos;de 25 y más años;tasas de actividad;1995TII;52,10
ambos sexos;de 25 y más años;tasas de actividad;1995TI;52,03
ambos sexos;de 25 y más años;tasas de actividad;1994TIV;52,01
ambos sexos;de 25 y más años;tasas de actividad;1994TIII;51,84
ambos sexos;de 25 y más años;tasas de actividad;1994TII;51,96
ambos sexos;de 25 y más años;tasas de actividad;1994TI;51,78
