Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
ambos sexos;menores de 25 años;tasas de paro;2001TII;20,70
ambos sexos;menores de 25 años;tasas de paro;2001TI;21,58
ambos sexos;menores de 25 años;tasas de paro;2000TIV;25,55
ambos sexos;menores de 25 años;tasas de paro;2000TIII;25,19
ambos sexos;menores de 25 años;tasas de paro;2000TII;25,13
ambos sexos;menores de 25 años;tasas de paro;2000TI;27,71
ambos sexos;menores de 25 años;tasas de paro;1999TIV;28,37
ambos sexos;menores de 25 años;tasas de paro;1999TIII;28,13
ambos sexos;menores de 25 años;tasas de paro;1999TII;28,99
ambos sexos;menores de 25 años;tasas de paro;1999TI;31,70
ambos sexos;menores de 25 años;tasas de paro;1998TIV;33,94
ambos sexos;menores de 25 años;tasas de paro;1998TIII;34,41
ambos sexos;menores de 25 años;tasas de paro;1998TII;35,51
ambos sexos;menores de 25 años;tasas de paro;1998TI;37,01
ambos sexos;menores de 25 años;tasas de paro;1997TIV;37,91
ambos sexos;menores de 25 años;tasas de paro;1997TIII;38,23
ambos sexos;menores de 25 años;tasas de paro;1997TII;39,15
ambos sexos;menores de 25 años;tasas de paro;1997TI;40,49
ambos sexos;menores de 25 años;tasas de paro;1996TIV;41,27
ambos sexos;menores de 25 años;tasas de paro;1996TIII;41,42
ambos sexos;menores de 25 años;tasas de paro;1996TII;41,86
ambos sexos;menores de 25 años;tasas de paro;1996TI;43,19
ambos sexos;menores de 25 años;tasas de empleo;2004TIV;38,42
ambos sexos;menores de 25 años;tasas de empleo;2004TIII;40,07
ambos sexos;menores de 25 años;tasas de empleo;2004TII;37,88
ambos sexos;menores de 25 años;tasas de empleo;2004TI;37,15
ambos sexos;menores de 25 años;tasas de empleo;2003TIV;37,33
ambos sexos;menores de 25 años;tasas de empleo;2003TIII;39,00
ambos sexos;menores de 25 años;tasas de empleo;2003TII;37,34
ambos sexos;menores de 25 años;tasas de empleo;2003TI;36,16
ambos sexos;menores de 25 años;tasas de empleo;2002TIV;36,55
ambos sexos;menores de 25 años;tasas de empleo;2002TIII;38,22
ambos sexos;menores de 25 años;tasas de empleo;2002TII;36,81
ambos sexos;menores de 25 años;tasas de empleo;2002TI;36,48
ambos sexos;menores de 25 años;tasas de empleo;2001TIV;37,13
ambos sexos;menores de 25 años;tasas de empleo;2001TIII;38,32
ambos sexos;menores de 25 años;tasas de empleo;2001TII;36,33
ambos sexos;menores de 25 años;tasas de empleo;2001TI;35,46
