Grupos COICOP 2011;Tipo de dato;Periodo;Total
Índice general;Índice;2019M12;82,84
Índice general;Índice;2019M11;82,9
Índice general;Índice;2019M10;82,76
Índice general;Índice;2019M09;81,965
Índice general;Índice;2019M08;81,965
Índice general;Índice;2019M07;82,011
Índice general;Índice;2019M06;82,522
Índice general;Índice;2019M05;82,619
Índice general;Índice;2019M04;82,459
Índice general;Índice;2019M03;81,636
Índice general;Índice;2019M02;81,34
Índice general;Índice;2019M01;81,142
Índice general;Índice;2018M12;82,193
Índice general;Índice;2018M11;82,563
Índice general;Índice;2018M10;82,654
Índice general;Índice;2018M09;81,897
Índice general;Índice;2018M08;81,697
Índice general;Índice;2018M07;81,581
Índice general;Índice;2018M06;82,17
Índice general;Índice;2018M05;81,956
Índice general;Índice;2018M04;81,224
Índice general;Índice;2018M03;80,558
Índice general;Índice;2018M02;80,463
Índice general;Índice;2018M01;80,355
Índice general;Índice;2017M12;81,231
Índice general;Índice;2017M11;81,194
Índice general;Índice;2017M10;80,825
Índice general;Índice;2017M09;80,086
Índice general;Índice;2017M08;79,947
Índice general;Índice;2017M07;79,788
Índice general;Índice;2017M06;80,343
Índice general;Índice;2017M05;80,308
Índice general;Índice;2017M04;80,356
Índice general;Índice;2017M03;79,592
Índice general;Índice;2017M02;79,608
Índice general;Índice;2017M01;79,896
Índice general;Índice;2016M12;80,338
Índice general;Índice;2016M11;79,864
Índice general;Índice;2016M10;79,576
Índice general;Índice;2016M09;78,677
Índice general;Índice;2016M08;78,673
Índice general;Índice;2016M07;78,572
Índice general;Índice;2016M06;79,148
Índice general;Índice;2016M05;78,783
Índice general;Índice;2016M04;78,355
Índice general;Índice;2016M03;77,81
Índice general;Índice;2016M02;77,314
Índice general;Índice;2016M01;77,588
Índice general;Índice;2015M12;79,097
Índice general;Índice;2015M11;79,329
Índice general;Índice;2015M10;79,039
Índice general;Índice;2015M09;78,536
Índice general;Índice;2015M08;78,779
Índice general;Índice;2015M07;79,041
Índice general;Índice;2015M06;79,782
Índice general;Índice;2015M05;79,569
Índice general;Índice;2015M04;79,191
Índice general;Índice;2015M03;78,47
Índice general;Índice;2015M02;77,972
Índice general;Índice;2015M01;77,812
Índice general;Índice;2014M12;79,083
Índice general;Índice;2014M11;79,547
Índice general;Índice;2014M10;79,602
Índice general;Índice;2014M09;79,233
Índice general;Índice;2014M08;79,112
Índice general;Índice;2014M07;78,987
Índice general;Índice;2014M06;79,737
Índice general;Índice;2014M05;79,715
Índice general;Índice;2014M04;79,697
Índice general;Índice;2014M03;78,994
Índice general;Índice;2014M02;78,818
Índice general;Índice;2014M01;78,852
Índice general;Índice;2013M12;79,915
Índice general;Índice;2013M11;79,844
Índice general;Índice;2013M10;79,678
Índice general;Índice;2013M09;79,355
Índice general;Índice;2013M08;79,504
Índice general;Índice;2013M07;79,258
Índice general;Índice;2013M06;79,669
Índice general;Índice;2013M05;79,551
Índice general;Índice;2013M04;79,405
Índice general;Índice;2013M03;79,109
Índice general;Índice;2013M02;78,832
Índice general;Índice;2013M01;78,695
Índice general;Índice;2012M12;79,714
Índice general;Índice;2012M11;79,658
Índice general;Índice;2012M10;79,757
Índice general;Índice;2012M09;79,085
Índice general;Índice;2012M08;78,314
Índice general;Índice;2012M07;77,876
Índice general;Índice;2012M06;78,058
Índice general;Índice;2012M05;78,204
Índice general;Índice;2012M04;78,32
Índice general;Índice;2012M03;77,235
Índice general;Índice;2012M02;76,719
Índice general;Índice;2012M01;76,639
Índice general;Índice;2011M12;77,492
Índice general;Índice;2011M11;77,391
Índice general;Índice;2011M10;77,078
Índice general;Índice;2011M09;76,475
Índice general;Índice;2011M08;76,289
Índice general;Índice;2011M07;76,194
Índice general;Índice;2011M06;76,606
Índice general;Índice;2011M05;76,714
Índice general;Índice;2011M04;76,739
Índice general;Índice;2011M03;75,796
Índice general;Índice;2011M02;75,234
Índice general;Índice;2011M01;75,138
Índice general;Índice;2010M12;75,692
Índice general;Índice;2010M11;75,23
Índice general;Índice;2010M10;74,824
Índice general;Índice;2010M09;74,146
Índice general;Índice;2010M08;74,095
Índice general;Índice;2010M07;73,909
Índice general;Índice;2010M06;74,241
Índice general;Índice;2010M05;74,109
Índice general;Índice;2010M04;73,944
Índice general;Índice;2010M03;73,165
Índice general;Índice;2010M02;72,627
Índice general;Índice;2010M01;72,759
Índice general;Índice;2009M12;73,496
Índice general;Índice;2009M11;73,515
Índice general;Índice;2009M10;73,119
Índice general;Índice;2009M09;72,601
Índice general;Índice;2009M08;72,773
Índice general;Índice;2009M07;72,52
Índice general;Índice;2009M06;73,144
Índice general;Índice;2009M05;72,823
Índice general;Índice;2009M04;72,849
Índice general;Índice;2009M03;72,144
Índice general;Índice;2009M02;72,026
Índice general;Índice;2009M01;72,018
Índice general;Índice;2008M12;72,917
Índice general;Índice;2008M11;73,293
Índice general;Índice;2008M10;73,605
Índice general;Índice;2008M09;73,353
Índice general;Índice;2008M08;73,368
Índice general;Índice;2008M07;73,526
Índice general;Índice;2008M06;73,881
Índice general;Índice;2008M05;73,458
Índice general;Índice;2008M04;72,965
Índice general;Índice;2008M03;72,188
Índice general;Índice;2008M02;71,553
Índice general;Índice;2008M01;71,442
Índice general;Índice;2007M12;71,887
Índice general;Índice;2007M11;71,587
Índice general;Índice;2007M10;71,077
Índice general;Índice;2007M09;70,168
Índice general;Índice;2007M08;69,938
Índice general;Índice;2007M07;69,843
Índice general;Índice;2007M06;70,354
Índice general;Índice;2007M05;70,225
Índice general;Índice;2007M04;70,033
Índice general;Índice;2007M03;69,079
Índice general;Índice;2007M02;68,559
Índice general;Índice;2007M01;68,512
Índice general;Índice;2006M12;68,976
Índice general;Índice;2006M11;68,787
Índice general;Índice;2006M10;68,618
Índice general;Índice;2006M09;68,337
Índice general;Índice;2006M08;68,45
Índice general;Índice;2006M07;68,31
Índice general;Índice;2006M06;68,719
Índice general;Índice;2006M05;68,615
Índice general;Índice;2006M04;68,369
Índice general;Índice;2006M03;67,418
Índice general;Índice;2006M02;66,944
Índice general;Índice;2006M01;66,912
Índice general;Índice;2005M12;67,184
Índice general;Índice;2005M11;67,04
Índice general;Índice;2005M10;66,939
Índice general;Índice;2005M09;66,399
Índice general;Índice;2005M08;65,994
Índice general;Índice;2005M07;65,705
Índice general;Índice;2005M06;66,11
Índice general;Índice;2005M05;65,956
Índice general;Índice;2005M04;65,83
Índice general;Índice;2005M03;64,895
Índice general;Índice;2005M02;64,386
Índice general;Índice;2005M01;64,219
Índice general;Índice;2004M12;64,765
Índice general;Índice;2004M11;64,828
Índice general;Índice;2004M10;64,667
Índice general;Índice;2004M09;64,009
Índice general;Índice;2004M08;63,895
Índice general;Índice;2004M07;63,614
Índice general;Índice;2004M06;64,1
Índice general;Índice;2004M05;63,999
Índice general;Índice;2004M04;63,623
Índice general;Índice;2004M03;62,764
Índice general;Índice;2004M02;62,329
Índice general;Índice;2004M01;62,3
Índice general;Índice;2003M12;62,74
Índice general;Índice;2003M11;62,633
Índice general;Índice;2003M10;62,429
Índice general;Índice;2003M09;62,011
Índice general;Índice;2003M08;61,827
Índice general;Índice;2003M07;61,545
Índice general;Índice;2003M06;61,933
Índice general;Índice;2003M05;61,892
Índice general;Índice;2003M04;61,949
Índice general;Índice;2003M03;61,449
Índice general;Índice;2003M02;61,026
Índice general;Índice;2003M01;60,896
Índice general;Índice;2002M12;61,148
Índice general;Índice;2002M11;60,946
Índice general;Índice;2002M10;60,851
Índice general;Índice;2002M09;60,255
Índice general;Índice;2002M08;60,03
Índice general;Índice;2002M07;59,858
Índice general;Índice;2002M06;60,277
Índice general;Índice;2002M05;60,274
Índice general;Índice;2002M04;60,058
Índice general;Índice;2002M03;59,253
Índice general;Índice;2002M02;58,768
Índice general;Índice;2002M01;58,717
Índice general;Índice;2001M12;""
Índice general;Índice;2001M11;""
Índice general;Índice;2001M10;""
Índice general;Índice;2001M09;""
Índice general;Índice;2001M08;""
Índice general;Índice;2001M07;""
Índice general;Índice;2001M06;""
Índice general;Índice;2001M05;""
Índice general;Índice;2001M04;""
Índice general;Índice;2001M03;""
Índice general;Índice;2001M02;""
Índice general;Índice;2001M01;""
Índice general;Índice;2000M12;""
Índice general;Índice;2000M11;""
Índice general;Índice;2000M10;""
Índice general;Índice;2000M09;""
Índice general;Índice;2000M08;""
Índice general;Índice;2000M07;""
Índice general;Índice;2000M06;""
Índice general;Índice;2000M05;""
Índice general;Índice;2000M04;""
Índice general;Índice;2000M03;""
Índice general;Índice;2000M02;""
Índice general;Índice;2000M01;""
Índice general;Índice;1999M12;""
Índice general;Índice;1999M11;""
Índice general;Índice;1999M10;""
Índice general;Índice;1999M09;""
Índice general;Índice;1999M08;""
Índice general;Índice;1999M07;""
Índice general;Índice;1999M06;""
Índice general;Índice;1999M05;""
Índice general;Índice;1999M04;""
Índice general;Índice;1999M03;""
Índice general;Índice;1999M02;""
Índice general;Índice;1999M01;""
Índice general;Índice;1998M12;""
Índice general;Índice;1998M11;""
Índice general;Índice;1998M10;""
Índice general;Índice;1998M09;""
Índice general;Índice;1998M08;""
Índice general;Índice;1998M07;""
Índice general;Índice;1998M06;""
Índice general;Índice;1998M05;""
Índice general;Índice;1998M04;""
Índice general;Índice;1998M03;""
Índice general;Índice;1998M02;""
Índice general;Índice;1998M01;""
Índice general;Índice;1997M12;""
Índice general;Índice;1997M11;""
Índice general;Índice;1997M10;""
Índice general;Índice;1997M09;""
Índice general;Índice;1997M08;""
Índice general;Índice;1997M07;""
Índice general;Índice;1997M06;""
Índice general;Índice;1997M05;""
Índice general;Índice;1997M04;""
Índice general;Índice;1997M03;""
Índice general;Índice;1997M02;""
Índice general;Índice;1997M01;""
Índice general;Índice;1996M12;""
Índice general;Índice;1996M11;""
Índice general;Índice;1996M10;""
Índice general;Índice;1996M09;""
Índice general;Índice;1996M08;""
Índice general;Índice;1996M07;""
Índice general;Índice;1996M06;""
Índice general;Índice;1996M05;""
Índice general;Índice;1996M04;""
Índice general;Índice;1996M03;""
Índice general;Índice;1996M02;""
Índice general;Índice;1996M01;""
Índice general;Índice;1995M12;""
Índice general;Índice;1995M11;""
Índice general;Índice;1995M10;""
Índice general;Índice;1995M09;""
Índice general;Índice;1995M08;""
Índice general;Índice;1995M07;""
Índice general;Índice;1995M06;""
Índice general;Índice;1995M05;""
Índice general;Índice;1995M04;""
Índice general;Índice;1995M03;""
Índice general;Índice;1995M02;""
Índice general;Índice;1995M01;""
Índice general;Índice;1994M12;""
Índice general;Índice;1994M11;""
Índice general;Índice;1994M10;""
Índice general;Índice;1994M09;""
Índice general;Índice;1994M08;""
Índice general;Índice;1994M07;""
Índice general;Índice;1994M06;""
Índice general;Índice;1994M05;""
Índice general;Índice;1994M04;""
Índice general;Índice;1994M03;""
Índice general;Índice;1994M02;""
Índice general;Índice;1994M01;""
Índice general;Índice;1993M12;""
Índice general;Índice;1993M11;""
Índice general;Índice;1993M10;""
Índice general;Índice;1993M09;""
Índice general;Índice;1993M08;""
Índice general;Índice;1993M07;""
Índice general;Índice;1993M06;""
Índice general;Índice;1993M05;""
Índice general;Índice;1993M04;""
Índice general;Índice;1993M03;""
Índice general;Índice;1993M02;""
Índice general;Índice;1993M01;""
Índice general;Índice;1992M12;""
Índice general;Índice;1992M11;""
Índice general;Índice;1992M10;""
Índice general;Índice;1992M09;""
Índice general;Índice;1992M08;""
Índice general;Índice;1992M07;""
Índice general;Índice;1992M06;""
Índice general;Índice;1992M05;""
Índice general;Índice;1992M04;""
Índice general;Índice;1992M03;""
Índice general;Índice;1992M02;""
Índice general;Índice;1992M01;""
Índice general;Índice;1991M12;""
Índice general;Índice;1991M11;""
Índice general;Índice;1991M10;""
Índice general;Índice;1991M09;""
Índice general;Índice;1991M08;""
Índice general;Índice;1991M07;""
Índice general;Índice;1991M06;""
Índice general;Índice;1991M05;""
Índice general;Índice;1991M04;""
Índice general;Índice;1991M03;""
Índice general;Índice;1991M02;""
Índice general;Índice;1991M01;""
Índice general;Índice;1990M12;""
Índice general;Índice;1990M11;""
Índice general;Índice;1990M10;""
Índice general;Índice;1990M09;""
Índice general;Índice;1990M08;""
Índice general;Índice;1990M07;""
Índice general;Índice;1990M06;""
Índice general;Índice;1990M05;""
Índice general;Índice;1990M04;""
Índice general;Índice;1990M03;""
Índice general;Índice;1990M02;""
Índice general;Índice;1990M01;""
Índice general;Índice;1989M12;""
Índice general;Índice;1989M11;""
Índice general;Índice;1989M10;""
Índice general;Índice;1989M09;""
Índice general;Índice;1989M08;""
Índice general;Índice;1989M07;""
Índice general;Índice;1989M06;""
Índice general;Índice;1989M05;""
Índice general;Índice;1989M04;""
Índice general;Índice;1989M03;""
Índice general;Índice;1989M02;""
Índice general;Índice;1989M01;""
Índice general;Índice;1988M12;""
Índice general;Índice;1988M11;""
Índice general;Índice;1988M10;""
Índice general;Índice;1988M09;""
Índice general;Índice;1988M08;""
Índice general;Índice;1988M07;""
Índice general;Índice;1988M06;""
Índice general;Índice;1988M05;""
Índice general;Índice;1988M04;""
Índice general;Índice;1988M03;""
Índice general;Índice;1988M02;""
Índice general;Índice;1988M01;""
Índice general;Índice;1987M12;""
Índice general;Índice;1987M11;""
Índice general;Índice;1987M10;""
Índice general;Índice;1987M09;""
Índice general;Índice;1987M08;""
Índice general;Índice;1987M07;""
Índice general;Índice;1987M06;""
Índice general;Índice;1987M05;""
Índice general;Índice;1987M04;""
Índice general;Índice;1987M03;""
Índice general;Índice;1987M02;""
Índice general;Índice;1987M01;""
Índice general;Índice;1986M12;""
Índice general;Índice;1986M11;""
Índice general;Índice;1986M10;""
Índice general;Índice;1986M09;""
Índice general;Índice;1986M08;""
Índice general;Índice;1986M07;""
Índice general;Índice;1986M06;""
Índice general;Índice;1986M05;""
Índice general;Índice;1986M04;""
Índice general;Índice;1986M03;""
Índice general;Índice;1986M02;""
Índice general;Índice;1986M01;""
Índice general;Índice;1985M12;""
Índice general;Índice;1985M11;""
Índice general;Índice;1985M10;""
Índice general;Índice;1985M09;""
Índice general;Índice;1985M08;""
Índice general;Índice;1985M07;""
Índice general;Índice;1985M06;""
Índice general;Índice;1985M05;""
Índice general;Índice;1985M04;""
Índice general;Índice;1985M03;""
Índice general;Índice;1985M02;""
Índice general;Índice;1985M01;""
Índice general;Índice;1984M12;""
Índice general;Índice;1984M11;""
Índice general;Índice;1984M10;""
Índice general;Índice;1984M09;""
Índice general;Índice;1984M08;""
Índice general;Índice;1984M07;""
Índice general;Índice;1984M06;""
Índice general;Índice;1984M05;""
Índice general;Índice;1984M04;""
Índice general;Índice;1984M03;""
Índice general;Índice;1984M02;""
Índice general;Índice;1984M01;""
Índice general;Índice;1983M12;""
Índice general;Índice;1983M11;""
Índice general;Índice;1983M10;""
Índice general;Índice;1983M09;""
Índice general;Índice;1983M08;""
Índice general;Índice;1983M07;""
Índice general;Índice;1983M06;""
Índice general;Índice;1983M05;""
Índice general;Índice;1983M04;""
Índice general;Índice;1983M03;""
Índice general;Índice;1983M02;""
Índice general;Índice;1983M01;""
Índice general;Índice;1982M12;""
Índice general;Índice;1982M11;""
Índice general;Índice;1982M10;""
Índice general;Índice;1982M09;""
Índice general;Índice;1982M08;""
Índice general;Índice;1982M07;""
Índice general;Índice;1982M06;""
Índice general;Índice;1982M05;""
Índice general;Índice;1982M04;""
Índice general;Índice;1982M03;""
Índice general;Índice;1982M02;""
Índice general;Índice;1982M01;""
Índice general;Índice;1981M12;""
Índice general;Índice;1981M11;""
Índice general;Índice;1981M10;""
Índice general;Índice;1981M09;""
Índice general;Índice;1981M08;""
Índice general;Índice;1981M07;""
Índice general;Índice;1981M06;""
Índice general;Índice;1981M05;""
Índice general;Índice;1981M04;""
Índice general;Índice;1981M03;""
Índice general;Índice;1981M02;""
Índice general;Índice;1981M01;""
Índice general;Índice;1980M12;""
Índice general;Índice;1980M11;""
Índice general;Índice;1980M10;""
Índice general;Índice;1980M09;""
Índice general;Índice;1980M08;""
Índice general;Índice;1980M07;""
Índice general;Índice;1980M06;""
Índice general;Índice;1980M05;""
Índice general;Índice;1980M04;""
Índice general;Índice;1980M03;""
Índice general;Índice;1980M02;""
Índice general;Índice;1980M01;""
Índice general;Índice;1979M12;""
Índice general;Índice;1979M11;""
Índice general;Índice;1979M10;""
Índice general;Índice;1979M09;""
Índice general;Índice;1979M08;""
Índice general;Índice;1979M07;""
Índice general;Índice;1979M06;""
Índice general;Índice;1979M05;""
Índice general;Índice;1979M04;""
Índice general;Índice;1979M03;""
Índice general;Índice;1979M02;""
Índice general;Índice;1979M01;""
Índice general;Índice;1978M12;""
Índice general;Índice;1978M11;""
Índice general;Índice;1978M10;""
Índice general;Índice;1978M09;""
Índice general;Índice;1978M08;""
Índice general;Índice;1978M07;""
Índice general;Índice;1978M06;""
Índice general;Índice;1978M05;""
Índice general;Índice;1978M04;""
Índice general;Índice;1978M03;""
Índice general;Índice;1978M02;""
Índice general;Índice;1978M01;""
Índice general;Índice;1977M12;""
Índice general;Índice;1977M11;""
Índice general;Índice;1977M10;""
Índice general;Índice;1977M09;""
Índice general;Índice;1977M08;""
Índice general;Índice;1977M07;""
Índice general;Índice;1977M06;""
Índice general;Índice;1977M05;""
Índice general;Índice;1977M04;""
Índice general;Índice;1977M03;""
Índice general;Índice;1977M02;""
Índice general;Índice;1977M01;""
Índice general;Índice;1976M12;""
Índice general;Índice;1976M11;""
Índice general;Índice;1976M10;""
Índice general;Índice;1976M09;""
Índice general;Índice;1976M08;""
Índice general;Índice;1976M07;""
Índice general;Índice;1976M06;""
Índice general;Índice;1976M05;""
Índice general;Índice;1976M04;""
Índice general;Índice;1976M03;""
Índice general;Índice;1976M02;""
Índice general;Índice;1976M01;""
Índice general;Índice;1975M12;""
Índice general;Índice;1975M11;""
Índice general;Índice;1975M10;""
Índice general;Índice;1975M09;""
Índice general;Índice;1975M08;""
Índice general;Índice;1975M07;""
Índice general;Índice;1975M06;""
Índice general;Índice;1975M05;""
Índice general;Índice;1975M04;""
Índice general;Índice;1975M03;""
Índice general;Índice;1975M02;""
Índice general;Índice;1975M01;""
Índice general;Índice;1974M12;""
Índice general;Índice;1974M11;""
Índice general;Índice;1974M10;""
Índice general;Índice;1974M09;""
Índice general;Índice;1974M08;""
Índice general;Índice;1974M07;""
Índice general;Índice;1974M06;""
Índice general;Índice;1974M05;""
Índice general;Índice;1974M04;""
Índice general;Índice;1974M03;""
Índice general;Índice;1974M02;""
Índice general;Índice;1974M01;""
Índice general;Índice;1973M12;""
Índice general;Índice;1973M11;""
Índice general;Índice;1973M10;""
Índice general;Índice;1973M09;""
Índice general;Índice;1973M08;""
Índice general;Índice;1973M07;""
Índice general;Índice;1973M06;""
Índice general;Índice;1973M05;""
Índice general;Índice;1973M04;""
Índice general;Índice;1973M03;""
Índice general;Índice;1973M02;""
Índice general;Índice;1973M01;""
Índice general;Índice;1972M12;""
Índice general;Índice;1972M11;""
Índice general;Índice;1972M10;""
Índice general;Índice;1972M09;""
Índice general;Índice;1972M08;""
Índice general;Índice;1972M07;""
Índice general;Índice;1972M06;""
Índice general;Índice;1972M05;""
Índice general;Índice;1972M04;""
Índice general;Índice;1972M03;""
Índice general;Índice;1972M02;""
Índice general;Índice;1972M01;""
Índice general;Índice;1971M12;""
Índice general;Índice;1971M11;""
Índice general;Índice;1971M10;""
Índice general;Índice;1971M09;""
Índice general;Índice;1971M08;""
Índice general;Índice;1971M07;""
Índice general;Índice;1971M06;""
Índice general;Índice;1971M05;""
Índice general;Índice;1971M04;""
Índice general;Índice;1971M03;""
Índice general;Índice;1971M02;""
Índice general;Índice;1971M01;""
Índice general;Índice;1970M12;""
Índice general;Índice;1970M11;""
Índice general;Índice;1970M10;""
Índice general;Índice;1970M09;""
Índice general;Índice;1970M08;""
Índice general;Índice;1970M07;""
Índice general;Índice;1970M06;""
Índice general;Índice;1970M05;""
Índice general;Índice;1970M04;""
Índice general;Índice;1970M03;""
Índice general;Índice;1970M02;""
Índice general;Índice;1970M01;""
Índice general;Índice;1969M12;""
Índice general;Índice;1969M11;""
Índice general;Índice;1969M10;""
Índice general;Índice;1969M09;""
Índice general;Índice;1969M08;""
Índice general;Índice;1969M07;""
Índice general;Índice;1969M06;""
Índice general;Índice;1969M05;""
Índice general;Índice;1969M04;""
Índice general;Índice;1969M03;""
Índice general;Índice;1969M02;""
Índice general;Índice;1969M01;""
Índice general;Índice;1968M12;""
Índice general;Índice;1968M11;""
Índice general;Índice;1968M10;""
Índice general;Índice;1968M09;""
Índice general;Índice;1968M08;""
Índice general;Índice;1968M07;""
Índice general;Índice;1968M06;""
Índice general;Índice;1968M05;""
Índice general;Índice;1968M04;""
Índice general;Índice;1968M03;""
Índice general;Índice;1968M02;""
Índice general;Índice;1968M01;""
Índice general;Índice;1967M12;""
Índice general;Índice;1967M11;""
Índice general;Índice;1967M10;""
Índice general;Índice;1967M09;""
Índice general;Índice;1967M08;""
Índice general;Índice;1967M07;""
Índice general;Índice;1967M06;""
Índice general;Índice;1967M05;""
Índice general;Índice;1967M04;""
Índice general;Índice;1967M03;""
Índice general;Índice;1967M02;""
Índice general;Índice;1967M01;""
Índice general;Índice;1966M12;""
Índice general;Índice;1966M11;""
Índice general;Índice;1966M10;""
Índice general;Índice;1966M09;""
Índice general;Índice;1966M08;""
Índice general;Índice;1966M07;""
Índice general;Índice;1966M06;""
Índice general;Índice;1966M05;""
Índice general;Índice;1966M04;""
Índice general;Índice;1966M03;""
Índice general;Índice;1966M02;""
Índice general;Índice;1966M01;""
Índice general;Índice;1965M12;""
Índice general;Índice;1965M11;""
Índice general;Índice;1965M10;""
Índice general;Índice;1965M09;""
Índice general;Índice;1965M08;""
Índice general;Índice;1965M07;""
Índice general;Índice;1965M06;""
Índice general;Índice;1965M05;""
Índice general;Índice;1965M04;""
Índice general;Índice;1965M03;""
Índice general;Índice;1965M02;""
Índice general;Índice;1965M01;""
Índice general;Índice;1964M12;""
Índice general;Índice;1964M11;""
Índice general;Índice;1964M10;""
Índice general;Índice;1964M09;""
Índice general;Índice;1964M08;""
Índice general;Índice;1964M07;""
Índice general;Índice;1964M06;""
Índice general;Índice;1964M05;""
Índice general;Índice;1964M04;""
Índice general;Índice;1964M03;""
Índice general;Índice;1964M02;""
Índice general;Índice;1964M01;""
Índice general;Índice;1963M12;""
Índice general;Índice;1963M11;""
Índice general;Índice;1963M10;""
Índice general;Índice;1963M09;""
Índice general;Índice;1963M08;""
Índice general;Índice;1963M07;""
Índice general;Índice;1963M06;""
Índice general;Índice;1963M05;""
Índice general;Índice;1963M04;""
Índice general;Índice;1963M03;""
Índice general;Índice;1963M02;""
Índice general;Índice;1963M01;""
Índice general;Índice;1962M12;""
Índice general;Índice;1962M11;""
Índice general;Índice;1962M10;""
Índice general;Índice;1962M09;""
Índice general;Índice;1962M08;""
Índice general;Índice;1962M07;""
Índice general;Índice;1962M06;""
Índice general;Índice;1962M05;""
Índice general;Índice;1962M04;""
Índice general;Índice;1962M03;""
Índice general;Índice;1962M02;""
Índice general;Índice;1962M01;""
Índice general;Índice;1961M12;""
Índice general;Índice;1961M11;""
Índice general;Índice;1961M10;""
Índice general;Índice;1961M09;""
Índice general;Índice;1961M08;""
Índice general;Índice;1961M07;""
Índice general;Índice;1961M06;""
Índice general;Índice;1961M05;""
Índice general;Índice;1961M04;""
Índice general;Índice;1961M03;""
Índice general;Índice;1961M02;""
Índice general;Índice;1961M01;""
